title,genre,description
Avengers,Action Superhero,"A team of superheroes save the world from alien invasion"
Iron Man,Action Superhero,"A billionaire builds a powered suit to fight evil"
Thor,Action Fantasy,"A god from Asgard fights to protect Earth"
Batman,Action Crime,"A vigilante fights crime in Gotham City"
Superman,Action Superhero,"An alien with superpowers protects humanity"
Interstellar,Sci-Fi Space,"A journey through space and time to save humanity"
Inception,Sci-Fi Thriller,"A thief steals information using dream invasion"
The Dark Knight,Action Crime,"Batman faces a powerful criminal mastermind"
Doctor Strange,Fantasy Superhero,"A surgeon learns mystic arts to protect reality"
Guardians of the Galaxy,Sci-Fi Superhero,"A group of misfits protect the galaxy"
