label,text
ham,Hey are we still meeting today?
spam,Congratulations! You have won a free lottery ticket. Claim now.
ham,Please call me when you are free.
spam,URGENT! Your account has been compromised. Click the link to secure it.
ham,Can you send me the notes from class?
spam,Win cash prizes instantly by clicking this link.
ham,Let's have lunch tomorrow.
spam,You have been selected for a free gift card. Act now!
ham,Are you coming to the party tonight?
spam,Limited time offer! Buy now and get 50% off.
spam,Win ₹10000 cash now by clicking this exclusive offer link
spam,Your bank account is blocked verify details immediately
spam,Limited time offer buy now and get huge discount
spam,You have won a free mobile recharge claim instantly
spam,URGENT update your KYC to avoid account suspension
spam,Get free gift vouchers click here now
spam,Congratulations you are selected for a lucky draw
spam,Claim your prize now offer expires today
spam,Your loan is approved click here to get money
spam,Exclusive deal just for you buy today
spam,Win ₹10000 cash now by clicking this exclusive offer link
spam,Your bank account is blocked verify details immediately
spam,Limited time offer buy now and get huge discount
spam,You have won a free mobile recharge claim instantly
spam,URGENT update your KYC to avoid account suspension
spam,Get free gift vouchers click here now
spam,Congratulations you are selected for a lucky draw
spam,Claim your prize now offer expires today
spam,Your loan is approved click here to get money
spam,Exclusive deal just for you buy today
ham,Hey did you finish the assignment
ham,Can we reschedule our meeting to tomorrow
ham,Please send me the documents when free
ham,Are you coming to college today
ham,Let us know once you reach home
ham,Reminder about the project submission deadline
ham,Call me when you are available
ham,Let us have lunch together today
ham,Did you check the timetable update
ham,Meeting postponed to next week
